DB00005	Etanercept	Prostaglandin G/H synthase 2	Human	P35354	inhibitor
DB00321	Amitriptyline	Cytochrome P450 2D6	None	None	None
DB00321	Amitriptyline	Cytochrome P450 2D6	Human	P10635	substrate
DB00321	Amitriptyline	Cytochrome P450 1A2	Human	P05177	substrate
DB00321	Amitriptyline	Cytochrome P450 2C19	Human	P33261	substrate
DB00321	Amitriptyline	Cytochrome P450 2C9	Human	P11712	substrate
DB00321	Amitriptyline	Cytochrome P450 3A4	Human	P08684	substrate
DB00321	Amitriptyline	Cytochrome P450 3A5	Human	P20815	substrate
DB00321	Amitriptyline	Cytochrome P450 2B6	Human	P20813	substrate
DB00321	Amitriptyline	Cytochrome P450 2C8	Human	P10632	substrate
DB00321	Amitriptyline	Cytochrome P450 2E1	Human	P05181	substrate
DB00321	Amitriptyline	UDP-glucuronosyltransferase 1-1	Human	P22309	substrate
DB00322	Floxuridine	Thymidine phosphorylase	None	None	None
DB00322	Floxuridine	Cytochrome P450 2A6	None	None	None
DB00322	Floxuridine	Thymidine phosphorylase	Human	P19971	substrate
DB00322	Floxuridine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00323	Tolcapone	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00324	Fluorometholone	Cytochrome P450 3A4	Human	P08684	substrate
DB00325	Nitroprusside	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00325	Nitroprusside	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00327	Hydromorphone	Prostaglandin G/H synthase 1	None	None	None
DB00327	Hydromorphone	Prostaglandin G/H synthase 1	None	None	None
DB00327	Hydromorphone	Cytochrome P450 3A4	None	None	None
DB00327	Hydromorphone	Cytochrome P450 2C9	None	None	None
DB00327	Hydromorphone	Cytochrome P450 2D6	None	None	None
DB00327	Hydromorphone	UDP-glucuronosyltransferase 1-9	None	None	None
DB00327	Hydromorphone	UDP-glucuronosyltransferase	None	None	None
DB00327	Hydromorphone	Cytochrome P450 3A4	Human	P08684	substrate
DB00327	Hydromorphone	Cytochrome P450 2C9	Human	P11712	substrate
DB00327	Hydromorphone	Cytochrome P450 2D6	Human	P10635	substrate
DB00327	Hydromorphone	Prostaglandin G/H synthase 1	Human	P23219	substrate
DB00327	Hydromorphone	UDP-glucuronosyltransferase 1-9	Human	O60656	substrate
DB00328	Indomethacin	Cytochrome P450 2C9	None	None	None
DB00328	Indomethacin	Cytochrome P450 2C19	None	None	None
DB00328	Indomethacin	UDP-glucuronosyltransferase 1-1	None	None	None
DB00328	Indomethacin	Liver carboxylesterase 1	None	None	None
DB00328	Indomethacin	Cytochrome P450 2C19	Human	P33261	substrate
DB00328	Indomethacin	Cytochrome P450 2C9	Human	P11712	substrate
DB00328	Indomethacin	Liver carboxylesterase 1	Human	P23141	substrate
DB00328	Indomethacin	UDP-glucuronosyltransferase 1-9	Human	O60656	substrate
DB00328	Indomethacin	UDP-glucuronosyltransferase 1-1	Human	P22309	substrate
DB00328	Indomethacin	UDP-glucuronosyltransferase 2B7	Human	P16662	substrate
DB00332	Ipratropium	Cytochrome P450 2D6	Human	P10635	substrate
DB00332	Ipratropium	Cytochrome P450 3A4	Human	P08684	substrate
DB00333	Methadone	Cytochrome P450 2D6	None	None	None
DB00333	Methadone	Cytochrome P450 3A4	None	None	None
DB00333	Methadone	Cytochrome P450 2B6	None	None	None
DB00333	Methadone	Cytochrome P450 2C8	None	None	None
DB00333	Methadone	Cytochrome P450 2C19	None	None	None
DB00333	Methadone	Cytochrome P450 2D6	None	None	None
DB00333	Methadone	Cytochrome P450 3A4	None	None	None
DB00333	Methadone	Cytochrome P450 2B6	None	None	None
DB00333	Methadone	Cytochrome P450 2C8	None	None	None
DB00333	Methadone	Cytochrome P450 2C19	None	None	None
DB00333	Methadone	Cytochrome P450 3A7	None	None	None
DB00333	Methadone	Cytochrome P450 3A7	None	None	None
DB00333	Methadone	Cytochrome P450 3A4	Human	P08684	substrate
DB00333	Methadone	Cytochrome P450 2C19	Human	P33261	substrate
DB00333	Methadone	Cytochrome P450 3A5	Human	P20815	substrate
DB00333	Methadone	Cytochrome P450 3A7	Human	P24462	substrate
DB00333	Methadone	Cytochrome P450 2D6	Human	P10635	substrate
DB00333	Methadone	Cytochrome P450 2B6	Human	P20813	substrate
DB00333	Methadone	Cytochrome P450 2C8	Human	P10632	substrate
DB00333	Methadone	Cytochrome P450 19A1	Human	P11511	substrate
DB00333	Methadone	Cytochrome P450 1A2	Human	P05177	substrate
DB00333	Methadone	Cytochrome P450 2C18	Human	P33260	substrate
DB00333	Methadone	Cytochrome P450 2C9	Human	P11712	substrate
DB00334	Olanzapine	Cytochrome P450 1A2	None	None	None
DB00334	Olanzapine	Cytochrome P450 1A2	None	None	None
DB00334	Olanzapine	Cytochrome P450 2D6	None	None	None
DB00334	Olanzapine	Cytochrome P450 1A2	Human	P05177	substrate
DB00334	Olanzapine	Cytochrome P450 2D6	Human	P10635	substrate
DB00334	Olanzapine	Dimethylaniline monooxygenase [N-oxide-forming] 3	Human	P31513	substrate
DB00334	Olanzapine	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00334	Olanzapine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00334	Olanzapine	Cytochrome P450 3A4	Human	P08684	inhibitor
DB00334	Olanzapine	UDP-glucuronosyltransferase 1-1	Human	P22309	substrate
DB00336	Nitrofural	Xanthine dehydrogenase/oxidase	Human	P47989	substrate
DB00336	Nitrofural	Cytochrome P450 2D6	Human	P10635	substrate
DB00337	Pimecrolimus	Cytochrome P450 3A4	Human	P08684	substrate
DB00338	Omeprazole	Cytochrome P450 2C9	None	None	None
DB00338	Omeprazole	Cytochrome P450 2C19	None	None	None
DB00338	Omeprazole	Cytochrome P450 3A4	None	None	None
DB00338	Omeprazole	Cytochrome P450 2C19	None	None	None
DB00338	Omeprazole	Cytochrome P450 3A4	None	None	None
DB00338	Omeprazole	Cytochrome P450 3A4	None	None	None
DB00338	Omeprazole	Cytochrome P450 2C19	Human	P33261	substrate
DB00338	Omeprazole	Cytochrome P450 3A4	Human	P08684	substrate
DB00338	Omeprazole	Cytochrome P450 1A2	Human	P05177	substrate
DB00338	Omeprazole	Cytochrome P450 2C9	Human	P11712	substrate
DB00338	Omeprazole	Cytochrome P450 2C18	Human	P33260	substrate
DB00338	Omeprazole	Cytochrome P450 2C8	Human	P10632	substrate
DB00338	Omeprazole	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00338	Omeprazole	Cholesterol side-chain cleavage enzyme, mitochondrial	Human	P05108	inhibitor
DB00338	Omeprazole	Cytochrome P450 1A1	Human	P04798	inducer
DB00338	Omeprazole	Cytochrome P450 1B1	Human	Q16678	inducer
DB00339	Pyrazinamide	Aldehyde oxidase	None	None	None
DB00339	Pyrazinamide	Xanthine dehydrogenase/oxidase	Human	P47989	substrate
DB00339	Pyrazinamide	Aldehyde oxidase	Human	Q06278	substrate
DB00339	Pyrazinamide	Cytochrome P450 1A2	Human	P05177	substrate
DB00339	Pyrazinamide	Cytochrome P450 3A4	Human	P08684	substrate
DB00342	Terfenadine	Cytochrome P450 3A4	None	None	None
DB00342	Terfenadine	Cytochrome P450 3A4	Human	P08684	substrate
DB00342	Terfenadine	Cytochrome P450 3A7	Human	P24462	substrate
DB00342	Terfenadine	Cytochrome P450 2D6	Human	P10635	substrate
DB00342	Terfenadine	Cytochrome P450 2C9	Human	P11712	substrate
DB00342	Terfenadine	Cytochrome P450 3A5	Human	P20815	substrate
DB00342	Terfenadine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00342	Terfenadine	Cytochrome P450 2J2	Human	P51589	inhibitor
DB00343	Diltiazem	Cytochrome P450 3A4	None	None	None
DB00343	Diltiazem	Cytochrome P450 3A4	None	None	None
DB00343	Diltiazem	Cytochrome P450 2C8	None	None	None
DB00343	Diltiazem	Cytochrome P450 2C9	None	None	None
DB00343	Diltiazem	Cytochrome P450 2D6	None	None	None
DB00343	Diltiazem	Cytochrome P450 3A4	Human	P08684	substrate
DB00343	Diltiazem	Cytochrome P450 3A5	Human	P20815	substrate
DB00343	Diltiazem	Cytochrome P450 3A7	Human	P24462	substrate
DB00343	Diltiazem	Cytochrome P450 2C19	Human	P33261	substrate
DB00343	Diltiazem	Cytochrome P450 2D6	Human	P10635	substrate
DB00343	Diltiazem	Cytochrome P450 2C8	Human	P10632	substrate
DB00343	Diltiazem	Cytochrome P450 2C9	Human	P11712	substrate
DB00344	Protriptyline	Cytochrome P450 2D6	Human	P10635	substrate
DB00346	Alfuzosin	Cytochrome P450 3A4	Human	P08684	substrate
DB00347	Trimethadione	Cytochrome P450 2E1	None	None	None
DB00347	Trimethadione	Cytochrome P450 3A4	None	None	None
DB00347	Trimethadione	Cytochrome P450 2C8	None	None	None
DB00347	Trimethadione	Cytochrome P450 2C9	None	None	None
DB00347	Trimethadione	Cytochrome P450 2C19	None	None	None
DB00347	Trimethadione	Cytochrome P450 2E1	Human	P05181	substrate
DB00347	Trimethadione	Cytochrome P450 3A4	Human	P08684	substrate
DB00347	Trimethadione	Cytochrome P450 2C8	Human	P10632	substrate
DB00347	Trimethadione	Cytochrome P450 2C9	Human	P11712	substrate
DB00347	Trimethadione	Cytochrome P450 2C19	Human	P33261	substrate
DB00349	Clobazam	Cytochrome P450 2C19	None	None	None
DB00349	Clobazam	Cytochrome P450 3A4	None	None	None
DB00349	Clobazam	Cytochrome P450 3A4	Human	P08684	substrate
DB00349	Clobazam	Cytochrome P450 2C19	Human	P33261	substrate
DB00349	Clobazam	Cytochrome P450 2B6	Human	P20813	substrate
DB00349	Clobazam	Cytochrome P450 2C18	Human	P33260	substrate
DB00349	Clobazam	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00352	Tioguanine	Hypoxanthine-guanine phosphoribosyltransferase	None	None	None
DB00352	Tioguanine	Thiopurine S-methyltransferase	None	None	None
DB00352	Tioguanine	Hypoxanthine-guanine phosphoribosyltransferase	Human	P00492	substrate
DB00353	Methylergometrine	Cytochrome P450 3A4	Human	P08684	substrate
DB00356	Chlorzoxazone	Cytochrome P450 2E1	None	None	None
DB00356	Chlorzoxazone	Cytochrome P450 2E1	Human	P05181	substrate
DB00356	Chlorzoxazone	Cytochrome P450 1A1	Human	P04798	substrate
DB00356	Chlorzoxazone	Cytochrome P450 1A2	Human	P05177	substrate
DB00356	Chlorzoxazone	Cytochrome P450 2A6	Human	P11509	substrate
DB00356	Chlorzoxazone	Cytochrome P450 3A4	Human	P08684	substrate
DB00356	Chlorzoxazone	Cytochrome P450 2D6	Human	P10635	substrate
DB00357	Aminoglutethimide	Cytochrome P450 3A4	Human	P08684	inducer
DB00357	Aminoglutethimide	Cytochrome P450 1A2	Human	P05177	inducer
DB00357	Aminoglutethimide	Cytochrome P450 2C19	Human	P33261	inducer
DB00358	Mefloquine	Cytochrome P450 3A4	Human	P08684	substrate
DB00358	Mefloquine	Cholinesterase	Human	P06276	inhibitor
DB00358	Mefloquine	Cytochrome P450 19A1	Human	P11511	inhibitor
DB00358	Mefloquine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00358	Mefloquine	Acetylcholinesterase	Human	P22303	inhibitor
DB00359	Sulfadiazine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00359	Sulfadiazine	Cytochrome P450 2C8	Human	P10632	substrate
DB00359	Sulfadiazine	Cytochrome P450 2E1	Human	P05181	substrate
DB00359	Sulfadiazine	Cytochrome P450 3A4	Human	P08684	substrate
DB00360	Sapropterin	Prostaglandin G/H synthase 2	Human	P35354	inducer
DB00361	Vinorelbine	Cytochrome P450 3A4	None	None	None
DB00361	Vinorelbine	Cytochrome P450 3A4	Human	P08684	substrate
DB00361	Vinorelbine	Cytochrome P450 2D6	Human	P10635	substrate
DB00363	Clozapine	Cytochrome P450 3A4	None	None	None
DB00363	Clozapine	Cytochrome P450 2C9	None	None	None
DB00363	Clozapine	Cytochrome P450 2C19	None	None	None
DB00363	Clozapine	Cytochrome P450 1A2	None	None	None
DB00363	Clozapine	Cytochrome P450 2D6	None	None	None
DB00363	Clozapine	Cytochrome P450 3A4	None	None	None
DB00363	Clozapine	Cytochrome P450 1A2	None	None	None
DB00363	Clozapine	Dimethylaniline monooxygenase [N-oxide-forming] 3	None	None	None
DB00363	Clozapine	UDP-glucuronosyltransferase 1-4	None	None	None
DB00363	Clozapine	Cytochrome P450 1A2	Human	P05177	substrate
DB00363	Clozapine	Cytochrome P450 2D6	Human	P10635	substrate
DB00363	Clozapine	Cytochrome P450 2C9	Human	P11712	substrate
DB00363	Clozapine	Cytochrome P450 3A4	Human	P08684	substrate
DB00363	Clozapine	Cytochrome P450 2C19	Human	P33261	substrate
DB00363	Clozapine	Cytochrome P450 2A6	Human	P11509	substrate
DB00363	Clozapine	Cytochrome P450 2C8	Human	P10632	substrate
DB00363	Clozapine	Dimethylaniline monooxygenase [N-oxide-forming] 3	Human	P31513	substrate
DB00363	Clozapine	UDP-glucuronosyltransferase 1-4	Human	P22310	substrate
DB00363	Clozapine	Cytochrome P450 2E1	Human	P05181	inhibitor
DB00363	Clozapine	Cytochrome P450 1A1	Human	P04798	inducer
DB00363	Clozapine	Cytochrome P450 1B1	Human	Q16678	inducer
DB00365	Grepafloxacin	Cytochrome P450 1A2	Human	P05177	substrate
DB00365	Grepafloxacin	Cytochrome P450 3A4	Human	P08684	substrate
DB00366	Doxylamine	CYP2B protein	Human	Q14097	inducer
DB00367	Levonorgestrel	Cytochrome P450 3A4	Human	P08684	substrate
DB00367	Levonorgestrel	Cytochrome P450 19A1	Human	P11511	inhibitor
DB00368	Norepinephrine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00369	Cidofovir	Thymidine phosphorylase	Human	P19971	inhibitor
DB00370	Mirtazapine	Cytochrome P450 1A2	None	None	None
DB00370	Mirtazapine	Cytochrome P450 3A4	None	None	None
DB00370	Mirtazapine	Cytochrome P450 1A2	None	None	None
DB00370	Mirtazapine	Cytochrome P450 2D6	None	None	None
DB00370	Mirtazapine	Cytochrome P450 3A4	None	None	None
DB00370	Mirtazapine	Cytochrome P450 1A2	None	None	None
DB00370	Mirtazapine	Cytochrome P450 2D6	None	None	None
DB00370	Mirtazapine	Cytochrome P450 3A4	None	None	None
DB00370	Mirtazapine	Cytochrome P450 1A2	None	None	None
DB00370	Mirtazapine	Cytochrome P450 2D6	None	None	None
DB00370	Mirtazapine	Cytochrome P450 3A4	None	None	None
DB00370	Mirtazapine	Cytochrome P450 3A4	Human	P08684	substrate
DB00370	Mirtazapine	Cytochrome P450 2D6	Human	P10635	substrate
DB00370	Mirtazapine	Cytochrome P450 1A2	Human	P05177	substrate
DB00370	Mirtazapine	Cytochrome P450 2C9	Human	P11712	substrate
DB00370	Mirtazapine	Cytochrome P450 2C8	Human	P10632	substrate
DB00371	Meprobamate	Cytochrome P450 2C19	Human	P33261	substrate
DB00371	Meprobamate	Cytochrome P450 2E1	Human	P05181	substrate
DB00373	Timolol	Cytochrome P450 2D6	Human	P10635	substrate
DB00373	Timolol	Cytochrome P450 2C19	Human	P33261	substrate
DB00374	Treprostinil	Cytochrome P450 2C9	Human	P11712	substrate
DB00377	Palonosetron	Cytochrome P450 2D6	Human	P10635	substrate
DB00377	Palonosetron	Cytochrome P450 3A4	Human	P08684	substrate
DB00377	Palonosetron	Cytochrome P450 1A2	Human	P05177	substrate
DB00379	Mexiletine	Cytochrome P450 1A2	None	None	None
DB00379	Mexiletine	Cytochrome P450 2D6	None	None	None
DB00379	Mexiletine	Cytochrome P450 1A2	None	None	None
DB00379	Mexiletine	Cytochrome P450 2D6	None	None	None
DB00379	Mexiletine	Cytochrome P450 1A2	Human	P05177	substrate
DB00379	Mexiletine	Cytochrome P450 2D6	Human	P10635	substrate
DB00379	Mexiletine	Cytochrome P450 2B6	Human	P20813	substrate
DB00379	Mexiletine	Cytochrome P450 2E1	Human	P05181	substrate
DB00379	Mexiletine	Cytochrome P450 3A4	Human	P08684	substrate
DB00381	Amlodipine	Cytochrome P450 3A4	Human	P08684	substrate
DB00381	Amlodipine	Cytochrome P450 3A5	Human	P20815	substrate
DB00381	Amlodipine	Cytochrome P450 3A7	Human	P24462	substrate
DB00381	Amlodipine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00381	Amlodipine	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00381	Amlodipine	Cytochrome P450 2B6	Human	P20813	inhibitor
DB00381	Amlodipine	Cytochrome P450 2A6	Human	P11509	inhibitor
DB00381	Amlodipine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00381	Amlodipine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00381	Amlodipine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00384	Triamterene	Cytochrome P450 1A2	None	None	None
DB00384	Triamterene	Cytochrome P450 1A2	Human	P05177	substrate
DB00388	Phenylephrine	Amine oxidase [flavin-containing] A	Human	P21397	substrate
DB00388	Phenylephrine	Cytochrome P450 1A2	Human	P05177	inducer
DB00389	Carbimazole	Cytochrome P450 19A1	Human	P11511	inhibitor
DB00389	Carbimazole	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00390	Digoxin	Cholesterol side-chain cleavage enzyme, mitochondrial	Human	P05108	inhibitor
DB00390	Digoxin	Cytochrome P450 3A4	Human	P08684	substrate
DB00391	Sulpiride	Cholinesterase	Human	P06276	inhibitor
DB00392	Ethopropazine	Cholinesterase	Human	P06276	inhibitor
DB00393	Nimodipine	Cytochrome P450 3A4	Human	P08684	substrate
DB00393	Nimodipine	Cytochrome P450 3A5	Human	P20815	substrate
DB00394	Beclomethasone dipropionate	Cytochrome P450 3A5	Human	P20815	inducer
DB00395	Carisoprodol	Cytochrome P450 2C19	Human	P33261	substrate
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 2C9	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 2D6	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 1A1	None	None	None
DB00396	Progesterone	Cytochrome P450 2D6	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 4B1	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 1A1	None	None	None
DB00396	Progesterone	Cytochrome P450 2D6	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 3A4	None	None	None
DB00396	Progesterone	Cytochrome P450 2D6	None	None	None
DB00396	Progesterone	Cytochrome P450 2C19	None	None	None
DB00396	Progesterone	Cytochrome P450 2C9	None	None	None
DB00396	Progesterone	Cytochrome P450 2D6	None	None	None
DB00396	Progesterone	Cytochrome P450 3A5	Human	P20815	substrate
DB00396	Progesterone	Cytochrome P450 2C9	Human	P11712	substrate
DB00396	Progesterone	Cytochrome P450 3A7	Human	P24462	substrate
DB00396	Progesterone	Cytochrome P450 2C19	Human	P33261	substrate
DB00396	Progesterone	Cytochrome P450 3A4	Human	P08684	substrate
DB00396	Progesterone	Steroid 17-alpha-hydroxylase/17,20 lyase	Human	P05093	inhibitor
DB00396	Progesterone	Cytochrome P450 1A1	Human	P04798	substrate
DB00396	Progesterone	Cytochrome P450 1A2	Human	P05177	substrate
DB00396	Progesterone	Cytochrome P450 1B1	Human	Q16678	substrate
DB00396	Progesterone	Cytochrome P450 2A6	Human	P11509	substrate
DB00396	Progesterone	Cytochrome P450 2C8	Human	P10632	substrate
DB00396	Progesterone	Cytochrome P450 2D6	Human	P10635	substrate
DB00397	Phenylpropanolamine	Amine oxidase [flavin-containing] A	Human	P21397	inhibitor
DB00397	Phenylpropanolamine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00398	Sorafenib	UDP-glucuronosyltransferase 1-9	None	None	None
DB00398	Sorafenib	Cytochrome P450 3A4	None	None	None
DB00398	Sorafenib	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00398	Sorafenib	Cytochrome P450 3A5	Human	P20815	substrate
DB00398	Sorafenib	Cytochrome P450 3A7	Human	P24462	substrate
DB00398	Sorafenib	Cytochrome P450 3A4	Human	P08684	substrate
DB00398	Sorafenib	Cytochrome P450 2B6	Human	P20813	substrate
DB00398	Sorafenib	Cytochrome P450 2C8	Human	P10632	substrate
DB00398	Sorafenib	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00398	Sorafenib	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00398	Sorafenib	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00398	Sorafenib	UDP-glucuronosyltransferase 1-9	Human	O60656	substrate
DB00398	Sorafenib	UDP-glucuronosyltransferase 1-1	Human	P22309	inhibitor
DB00400	Griseofulvin	Cytochrome P450 1A2	Human	P05177	inducer
DB00400	Griseofulvin	Cytochrome P450 3A4	Human	P08684	inducer
DB00401	Nisoldipine	Cytochrome P450 3A4	Human	P08684	substrate
DB00401	Nisoldipine	Cytochrome P450 3A5	Human	P20815	substrate
DB00401	Nisoldipine	Cytochrome P450 3A7	Human	P24462	substrate
DB00401	Nisoldipine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00402	Eszopiclone	Cytochrome P450 2C9	None	None	None
DB00402	Eszopiclone	Cytochrome P450 3A4	None	None	None
DB00402	Eszopiclone	Cytochrome P450 2C8	None	None	None
DB00402	Eszopiclone	Cytochrome P450 2C8	None	None	None
DB00402	Eszopiclone	Cytochrome P450 2C9	None	None	None
DB00402	Eszopiclone	Cytochrome P450 3A4	None	None	None
DB00402	Eszopiclone	Prostaglandin G/H synthase 1	None	None	None
DB00402	Eszopiclone	Cytochrome P450 3A4	Human	P08684	substrate
DB00402	Eszopiclone	Cytochrome P450 2C8	Human	P10632	substrate
DB00402	Eszopiclone	Cytochrome P450 2C9	Human	P11712	substrate
DB00402	Eszopiclone	Prostaglandin G/H synthase 1	Human	P23219	substrate
DB00404	Alprazolam	Cytochrome P450 2C9	None	None	None
DB00404	Alprazolam	Cytochrome P450 2C19	None	None	None
DB00404	Alprazolam	Cytochrome P450 3A4	None	None	None
DB00404	Alprazolam	Cytochrome P450 3A4	None	None	None
DB00404	Alprazolam	Cytochrome P450 3A5	None	None	None
DB00404	Alprazolam	Cytochrome P450 2C9	None	None	None
DB00404	Alprazolam	Cytochrome P450 2C9	None	None	None
DB00404	Alprazolam	Cytochrome P450 3A5	None	None	None
DB00404	Alprazolam	Cytochrome P450 3A4	None	None	None
DB00404	Alprazolam	Cytochrome P450 2C9	Human	P11712	substrate
DB00404	Alprazolam	Cytochrome P450 3A7	Human	P24462	substrate
DB00404	Alprazolam	Cytochrome P450 3A4	Human	P08684	substrate
DB00404	Alprazolam	Cytochrome P450 3A5	Human	P20815	substrate
DB00409	Remoxipride	Cytochrome P450 2D6	Human	P10635	substrate
DB00411	Carbachol	Cytosolic phospholipase A2	Human	P47712	inducer
DB00412	Rosiglitazone	Cytochrome P450 2C8	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C9	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C8	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C9	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C8	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C9	None	None	None
DB00412	Rosiglitazone	Cytochrome P450 2C8	Human	P10632	substrate
DB00412	Rosiglitazone	Cytochrome P450 2C9	Human	P11712	substrate
DB00412	Rosiglitazone	Prostaglandin G/H synthase 1	Human	P23219	substrate
DB00412	Rosiglitazone	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00412	Rosiglitazone	Cytochrome P450 2A6	Human	P11509	inhibitor
DB00412	Rosiglitazone	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00412	Rosiglitazone	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00414	Acetohexamide	Carbonyl reductase [NADPH] 1	Human	P16152	substrate
DB00418	Secobarbital	Cytochrome P450 2C9	Human	P11712	inducer
DB00418	Secobarbital	Cytochrome P450 2C8	Human	P10632	inducer
DB00418	Secobarbital	Cytochrome P450 1A2	Human	P05177	inducer
DB00420	Promazine	Cytochrome P450 1A2	None	None	None
DB00420	Promazine	Cytochrome P450 3A4	None	None	None
DB00420	Promazine	Cytochrome P450 1A2	None	None	None
DB00420	Promazine	Cytochrome P450 2C19	None	None	None
DB00420	Promazine	Cytochrome P450 2C9	None	None	None
DB00420	Promazine	Cytochrome P450 1A2	None	None	None
DB00420	Promazine	Cytochrome P450 2C9	None	None	None
DB00420	Promazine	Cytochrome P450 2C19	None	None	None
DB00420	Promazine	Cytochrome P450 2A6	None	None	None
DB00420	Promazine	Cytochrome P450 2B6	None	None	None
DB00420	Promazine	Cytochrome P450 2D6	None	None	None
DB00420	Promazine	Cytochrome P450 2E1	None	None	None
DB00420	Promazine	Cytochrome P450 2C19	Human	P33261	substrate
DB00420	Promazine	Cytochrome P450 1A2	Human	P05177	substrate
DB00420	Promazine	Cytochrome P450 3A4	Human	P08684	substrate
DB00420	Promazine	Cytochrome P450 2C9	Human	P11712	substrate
DB00420	Promazine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00421	Spironolactone	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00421	Spironolactone	Cytochrome P450 11B1, mitochondrial	Human	P15538	inhibitor
DB00422	Methylphenidate	Cytochrome P450 2D6	Human	P10635	substrate
DB00422	Methylphenidate	Carboxylesterase	Human	Q6LAP9	substrate
DB00425	Zolpidem	Cytochrome P450 3A4	None	None	None
DB00425	Zolpidem	Cytochrome P450 1A2	None	None	None
DB00425	Zolpidem	Cytochrome P450 2D6	None	None	None
DB00425	Zolpidem	Cytochrome P450 3A4	None	None	None
DB00425	Zolpidem	Cytochrome P450 1A2	None	None	None
DB00425	Zolpidem	Cytochrome P450 2D6	None	None	None
DB00425	Zolpidem	Cytochrome P450 2C9	None	None	None
DB00425	Zolpidem	Cytochrome P450 2C19	None	None	None
DB00425	Zolpidem	Cytochrome P450 2C9	None	None	None
DB00425	Zolpidem	Cytochrome P450 2C19	None	None	None
DB00425	Zolpidem	Cytochrome P450 3A4	None	None	None
DB00425	Zolpidem	Cytochrome P450 1A2	None	None	None
DB00425	Zolpidem	Cytochrome P450 2D6	None	None	None
DB00425	Zolpidem	Cytochrome P450 3A4	None	None	None
DB00425	Zolpidem	Cytochrome P450 1A2	None	None	None
DB00425	Zolpidem	Cytochrome P450 2D6	None	None	None
DB00425	Zolpidem	Cytochrome P450 3A5	Human	P20815	substrate
DB00425	Zolpidem	Cytochrome P450 3A7	Human	P24462	substrate
DB00425	Zolpidem	Cytochrome P450 3A4	Human	P08684	substrate
DB00425	Zolpidem	Cytochrome P450 1A2	Human	P05177	substrate
DB00425	Zolpidem	Cytochrome P450 2C9	Human	P11712	substrate
DB00425	Zolpidem	Cytochrome P450 2C19	Human	P33261	substrate
DB00425	Zolpidem	Cytochrome P450 2D6	Human	P10635	substrate
DB00425	Zolpidem	Prostaglandin G/H synthase 1	Human	P23219	substrate
DB00426	Famciclovir	Aldehyde oxidase	None	None	None
DB00426	Famciclovir	Aldehyde oxidase	Human	Q06278	substrate
DB00426	Famciclovir	Cytochrome P450 3A4	Human	P08684	substrate
DB00428	Streptozocin	Cytochrome P450 1A1	Human	P04798	inducer
